***********Testing array list***********
Sort name ascending
Student{name='A', lastname='Luong', average=6.5}
Student{name='A', lastname='Nguyen', average=8.0}
Student{name='A', lastname='Vu', average=7.0}
Student{name='B', lastname='Thieu', average=9.0}
Student{name='D', lastname='Bui', average=5.0}
Student{name='D', lastname='Nguyen', average=7.0}
Student{name='H', lastname='Hoang', average=9.0}
Student{name='H', lastname='Pham', average=8.0}
Student{name='N', lastname='Cu', average=10.0}
Student{name='P', lastname='Nguyen', average=8.0}
Sort name descending
Student{name='P', lastname='Nguyen', average=8.0}
Student{name='N', lastname='Cu', average=10.0}
Student{name='H', lastname='Pham', average=8.0}
Student{name='H', lastname='Hoang', average=9.0}
Student{name='D', lastname='Nguyen', average=7.0}
Student{name='D', lastname='Bui', average=5.0}
Student{name='B', lastname='Thieu', average=9.0}
Student{name='A', lastname='Vu', average=7.0}
Student{name='A', lastname='Nguyen', average=8.0}
Student{name='A', lastname='Luong', average=6.5}
Sort average ascending
Student{name='D', lastname='Bui', average=5.0}
Student{name='A', lastname='Luong', average=6.5}
Student{name='D', lastname='Nguyen', average=7.0}
Student{name='A', lastname='Vu', average=7.0}
Student{name='A', lastname='Nguyen', average=8.0}
Student{name='H', lastname='Pham', average=8.0}
Student{name='P', lastname='Nguyen', average=8.0}
Student{name='H', lastname='Hoang', average=9.0}
Student{name='B', lastname='Thieu', average=9.0}
Student{name='N', lastname='Cu', average=10.0}
Sort average descending
Student{name='N', lastname='Cu', average=10.0}
Student{name='B', lastname='Thieu', average=9.0}
Student{name='H', lastname='Hoang', average=9.0}
Student{name='H', lastname='Pham', average=8.0}
Student{name='A', lastname='Nguyen', average=8.0}
Student{name='P', lastname='Nguyen', average=8.0}
Student{name='D', lastname='Nguyen', average=7.0}
Student{name='A', lastname='Vu', average=7.0}
Student{name='A', lastname='Luong', average=6.5}
Student{name='D', lastname='Bui', average=5.0}
Student{name='A', lastname='Nguyen', average=8.0}
Student{name='A', lastname='Vu', average=7.0}
Student{name='A', lastname='Luong', average=6.5}
Student{name='H', lastname='Pham', average=8.0}
Student{name='N', lastname='Cu', average=10.0}
Student{name='B', lastname='Thieu', average=9.0}
Student{name='H', lastname='Hoang', average=9.0}
Student{name='D', lastname='Nguyen', average=7.0}
Student{name='D', lastname='Bui', average=5.0}
Student{name='P', lastname='Nguyen', average=8.0}
***********Testing linked list***********
Sort name ascending
Student{name='A', lastname='Luong', average=6.5}
Student{name='A', lastname='Nguyen', average=8.0}
Student{name='A', lastname='Vu', average=7.0}
Student{name='B', lastname='Thieu', average=9.0}
Student{name='D', lastname='Bui', average=5.0}
Student{name='D', lastname='Nguyen', average=7.0}
Student{name='H', lastname='Hoang', average=9.0}
Student{name='H', lastname='Pham', average=8.0}
Student{name='N', lastname='Cu', average=10.0}
Student{name='P', lastname='Nguyen', average=8.0}
Sort name descending
Student{name='P', lastname='Nguyen', average=8.0}
Student{name='N', lastname='Cu', average=10.0}
Student{name='H', lastname='Pham', average=8.0}
Student{name='H', lastname='Hoang', average=9.0}
Student{name='D', lastname='Nguyen', average=7.0}
Student{name='D', lastname='Bui', average=5.0}
Student{name='B', lastname='Thieu', average=9.0}
Student{name='A', lastname='Vu', average=7.0}
Student{name='A', lastname='Nguyen', average=8.0}
Student{name='A', lastname='Luong', average=6.5}
Sort average ascending
Student{name='D', lastname='Bui', average=5.0}
Student{name='A', lastname='Luong', average=6.5}
Student{name='D', lastname='Nguyen', average=7.0}
Student{name='A', lastname='Vu', average=7.0}
Student{name='A', lastname='Nguyen', average=8.0}
Student{name='H', lastname='Pham', average=8.0}
Student{name='P', lastname='Nguyen', average=8.0}
Student{name='H', lastname='Hoang', average=9.0}
Student{name='B', lastname='Thieu', average=9.0}
Student{name='N', lastname='Cu', average=10.0}
Sort average descending
Student{name='N', lastname='Cu', average=10.0}
Student{name='B', lastname='Thieu', average=9.0}
Student{name='H', lastname='Hoang', average=9.0}
Student{name='H', lastname='Pham', average=8.0}
Student{name='A', lastname='Nguyen', average=8.0}
Student{name='P', lastname='Nguyen', average=8.0}
Student{name='D', lastname='Nguyen', average=7.0}
Student{name='A', lastname='Vu', average=7.0}
Student{name='A', lastname='Luong', average=6.5}
Student{name='D', lastname='Bui', average=5.0}
Student{name='A', lastname='Nguyen', average=8.0}
Student{name='A', lastname='Vu', average=7.0}
Student{name='A', lastname='Luong', average=6.5}
Student{name='H', lastname='Pham', average=8.0}
Student{name='N', lastname='Cu', average=10.0}
Student{name='B', lastname='Thieu', average=9.0}
Student{name='H', lastname='Hoang', average=9.0}
Student{name='D', lastname='Nguyen', average=7.0}
Student{name='D', lastname='Bui', average=5.0}
Student{name='P', lastname='Nguyen', average=8.0}
